Carrier,FlightNo,Destination,DepartTime,Day,Month,FlightLength (min),Delay (min)
UA,403,DEN,4-8am,Fri,May,281,-1
UA,405,DEN,8-Noon,Fri,May,277,102
UA,409,DEN,4-8pm,Fri,May,279,4
UA,511,ORD,8-Noon,Fri,May,158,-2
UA,667,ORD,4-8am,Fri,May,143,-3
UA,669,ORD,4-8am,Fri,May,150,0
UA,673,ORD,8-Noon,Fri,May,158,-5
UA,677,ORD,8-Noon,Fri,May,160,0
UA,679,ORD,Noon-4pm,Fri,May,160,10
UA,681,ORD,Noon-4pm,Fri,May,163,60
UA,683,ORD,Noon-4pm,Fri,May,163,0
UA,685,ORD,Noon-4pm,Fri,May,160,32
UA,687,ORD,4-8pm,Fri,May,160,0
UA,689,ORD,4-8pm,Fri,May,160,44
UA,691,ORD,4-8pm,Fri,May,160,52
UA,693,ORD,4-8pm,Fri,May,160,88
UA,695,ORD,8-Mid,Fri,May,160,91
UA,745,DEN,Noon-4pm,Fri,May,277,35
UA,835,ORD,8-Noon,Fri,May,160,-4
UA,847,IAD,4-8pm,Fri,May,92,-1
UA,403,DEN,4-8am,Sat,May,281,-9
UA,405,DEN,8-Noon,Sat,May,274,-4
UA,511,ORD,8-Noon,Sat,May,160,-8
UA,669,ORD,4-8am,Sat,May,160,-8
UA,677,ORD,8-Noon,Sat,May,163,1
UA,681,ORD,Noon-4pm,Sat,May,160,-6
UA,683,ORD,Noon-4pm,Sat,May,148,-8
UA,685,ORD,Noon-4pm,Sat,May,160,14
UA,689,ORD,4-8pm,Sat,May,163,-17
UA,691,ORD,4-8pm,Sat,May,163,-4
UA,745,DEN,Noon-4pm,Sat,May,277,38
UA,835,ORD,8-Noon,Sat,May,158,0
UA,847,IAD,4-8pm,Sat,May,68,-9
UA,403,DEN,4-8am,Sun,May,281,1
UA,405,DEN,8-Noon,Sun,May,257,-3
UA,409,DEN,4-8pm,Sun,May,279,-5
UA,511,ORD,8-Noon,Sun,May,144,-6
UA,673,ORD,8-Noon,Sun,May,148,-3
UA,677,ORD,8-Noon,Sun,May,160,-8
UA,679,ORD,8-Noon,Sun,May,160,-4
UA,681,ORD,Noon-4pm,Sun,May,160,45
UA,683,ORD,Noon-4pm,Sun,May,160,-8
UA,685,ORD,Noon-4pm,Sun,May,160,-5
UA,687,ORD,4-8pm,Sun,May,160,-5
UA,689,ORD,4-8pm,Sun,May,160,34
UA,691,ORD,4-8pm,Sun,May,160,-5
UA,693,ORD,4-8pm,Sun,May,160,178
UA,745,DEN,Noon-4pm,Sun,May,277,-6
UA,835,ORD,4-8am,Sun,May,160,0
UA,847,IAD,4-8pm,Sun,May,92,28
UA,403,DEN,4-8am,Mon,May,281,-3
UA,405,DEN,8-Noon,Mon,May,277,-8
UA,409,DEN,4-8pm,Mon,May,279,50
UA,511,ORD,8-Noon,Mon,May,158,-1
UA,667,ORD,4-8am,Mon,May,143,-6
UA,669,ORD,4-8am,Mon,May,150,-2
UA,673,ORD,8-Noon,Mon,May,158,-13
UA,677,ORD,8-Noon,Mon,May,160,-5
UA,679,ORD,Noon-4pm,Mon,May,160,-2
UA,683,ORD,Noon-4pm,Mon,May,163,88
UA,685,ORD,Noon-4pm,Mon,May,160,-2
UA,687,ORD,4-8pm,Mon,May,160,81
UA,689,ORD,4-8pm,Mon,May,160,0
UA,691,ORD,4-8pm,Mon,May,160,5
UA,693,ORD,4-8pm,Mon,May,160,49
UA,695,ORD,8-Mid,Mon,May,160,33
UA,745,DEN,Noon-4pm,Mon,May,277,-2
UA,835,ORD,8-Noon,Mon,May,160,-8
UA,847,IAD,4-8pm,Mon,May,92,-7
UA,403,DEN,4-8am,Tue,May,281,-4
UA,405,DEN,8-Noon,Tue,May,277,117
UA,409,DEN,4-8pm,Tue,May,279,115
UA,511,ORD,8-Noon,Tue,May,158,0
UA,667,ORD,4-8am,Tue,May,143,-2
UA,669,ORD,4-8am,Tue,May,150,-2
UA,673,ORD,8-Noon,Tue,May,158,1
UA,679,ORD,Noon-4pm,Tue,May,160,-2
UA,681,ORD,Noon-4pm,Tue,May,160,-6
UA,683,ORD,Noon-4pm,Tue,May,163,96
UA,685,ORD,Noon-4pm,Tue,May,160,0
UA,689,ORD,4-8pm,Tue,May,160,15
UA,691,ORD,4-8pm,Tue,May,160,68
UA,693,ORD,4-8pm,Tue,May,163,60
UA,695,ORD,8-Mid,Tue,May,160,31
UA,745,DEN,Noon-4pm,Tue,May,277,80
UA,835,ORD,8-Noon,Tue,May,160,25
UA,847,IAD,4-8pm,Tue,May,92,79
UA,403,DEN,4-8am,Wed,May,281,-1
UA,405,DEN,8-Noon,Wed,May,277,105
UA,409,DEN,4-8pm,Wed,May,279,10
UA,511,ORD,8-Noon,Wed,May,158,0
UA,667,ORD,4-8am,Wed,May,143,-6
UA,669,ORD,4-8am,Wed,May,150,-5
UA,673,ORD,8-Noon,Wed,May,158,-4
UA,677,ORD,8-Noon,Wed,May,160,-2
UA,679,ORD,Noon-4pm,Wed,May,160,-2
UA,681,ORD,Noon-4pm,Wed,May,160,54
UA,683,ORD,Noon-4pm,Wed,May,163,0
UA,685,ORD,Noon-4pm,Wed,May,160,45
UA,687,ORD,4-8pm,Wed,May,160,73
UA,689,ORD,4-8pm,Wed,May,160,98
UA,691,ORD,4-8pm,Wed,May,160,118
UA,693,ORD,4-8pm,Wed,May,160,0
UA,695,ORD,8-Mid,Wed,May,160,0
UA,745,DEN,Noon-4pm,Wed,May,277,39
UA,835,ORD,8-Noon,Wed,May,160,-7
UA,847,IAD,4-8pm,Wed,May,92,100
UA,403,DEN,4-8am,Thu,May,281,-4
UA,405,DEN,8-Noon,Thu,May,277,62
UA,409,DEN,4-8pm,Thu,May,279,20
UA,511,ORD,8-Noon,Thu,May,158,0
UA,667,ORD,4-8am,Thu,May,143,-4
UA,669,ORD,4-8am,Thu,May,150,-3
UA,673,ORD,8-Noon,Thu,May,158,0
UA,677,ORD,8-Noon,Thu,May,160,67
UA,679,ORD,Noon-4pm,Thu,May,160,48
UA,681,ORD,Noon-4pm,Thu,May,160,9
UA,683,ORD,Noon-4pm,Thu,May,163,245
UA,685,ORD,Noon-4pm,Thu,May,160,0
UA,687,ORD,4-8pm,Thu,May,160,9
UA,689,ORD,4-8pm,Thu,May,160,140
UA,691,ORD,4-8pm,Thu,May,160,105
UA,693,ORD,4-8pm,Thu,May,160,115
UA,695,ORD,8-Mid,Thu,May,160,121
UA,745,DEN,Noon-4pm,Thu,May,277,8
UA,835,ORD,8-Noon,Thu,May,160,0
UA,847,IAD,4-8pm,Thu,May,92,83
UA,403,DEN,4-8am,Fri,May,281,-4
UA,405,DEN,8-Noon,Fri,May,277,47
UA,409,DEN,4-8pm,Fri,May,279,-2
UA,511,ORD,8-Noon,Fri,May,158,-6
UA,667,ORD,4-8am,Fri,May,143,-10
UA,669,ORD,4-8am,Fri,May,150,-2
UA,673,ORD,8-Noon,Fri,May,158,-2
UA,677,ORD,8-Noon,Fri,May,160,0
UA,679,ORD,Noon-4pm,Fri,May,160,-5
UA,681,ORD,Noon-4pm,Fri,May,160,-10
UA,683,ORD,Noon-4pm,Fri,May,163,-5
UA,685,ORD,Noon-4pm,Fri,May,160,-6
UA,687,ORD,4-8pm,Fri,May,160,-5
UA,689,ORD,4-8pm,Fri,May,160,19
UA,691,ORD,4-8pm,Fri,May,160,-2
UA,693,ORD,4-8pm,Fri,May,160,-9
UA,695,ORD,8-Mid,Fri,May,160,-8
UA,745,DEN,Noon-4pm,Fri,May,277,-6
UA,835,ORD,8-Noon,Fri,May,160,-4
UA,847,IAD,4-8pm,Fri,May,92,14
UA,403,DEN,4-8am,Sat,May,280,-5
UA,405,DEN,8-Noon,Sat,May,274,6
UA,511,ORD,8-Noon,Sat,May,158,0
UA,669,ORD,4-8am,Sat,May,160,-1
UA,677,ORD,8-Noon,Sat,May,163,159
UA,681,ORD,Noon-4pm,Sat,May,160,-11
UA,683,ORD,Noon-4pm,Sat,May,146,6
UA,689,ORD,4-8pm,Sat,May,160,-6
UA,691,ORD,4-8pm,Sat,May,158,-4
UA,745,DEN,Noon-4pm,Sat,May,259,32
UA,835,ORD,8-Noon,Sat,May,160,-9
UA,847,IAD,4-8pm,Sat,May,68,-7
UA,403,DEN,4-8am,Sun,May,281,-4
UA,405,DEN,8-Noon,Sun,May,257,-6
UA,409,DEN,4-8pm,Sun,May,279,-7
UA,511,ORD,8-Noon,Sun,May,144,-11
UA,669,ORD,4-8am,Sun,May,160,-16
UA,673,ORD,8-Noon,Sun,May,148,-6
UA,677,ORD,8-Noon,Sun,May,163,-7
UA,679,ORD,Noon-4pm,Sun,May,160,-10
UA,681,ORD,Noon-4pm,Sun,May,160,-5
UA,683,ORD,Noon-4pm,Sun,May,160,-6
UA,685,ORD,Noon-4pm,Sun,May,160,21
UA,687,ORD,4-8pm,Sun,May,160,-5
UA,689,ORD,4-8pm,Sun,May,160,-10
UA,691,ORD,4-8pm,Sun,May,160,2
UA,693,ORD,4-8pm,Sun,May,160,20
UA,745,DEN,Noon-4pm,Sun,May,277,-9
UA,847,IAD,4-8pm,Sun,May,92,24
UA,403,DEN,4-8am,Mon,May,281,-4
UA,405,DEN,8-Noon,Mon,May,277,-6
UA,409,DEN,4-8pm,Mon,May,279,1
UA,511,ORD,8-Noon,Mon,May,158,-2
UA,667,ORD,4-8am,Mon,May,143,-3
UA,669,ORD,4-8am,Mon,May,150,-5
UA,673,ORD,8-Noon,Mon,May,158,-1
UA,677,ORD,8-Noon,Mon,May,160,2
