Fill,Distance
air,25
air,23
air,18
air,16
air,35
air,15
air,26
air,24
air,24
air,28
air,25
air,19
air,27
air,25
air,34
air,26
air,20
air,22
air,33
air,29
air,31
air,27
air,22
air,29
air,28
air,29
air,22
air,31
air,25
air,20
air,27
air,26
air,28
air,32
air,28
air,25
air,31
air,28
air,28
helium,25
helium,16
helium,25
helium,14
helium,23
helium,29
helium,25
helium,26
helium,22
helium,26
helium,12
helium,28
helium,28
helium,31
helium,22
helium,29
helium,23
helium,26
helium,35
helium,24
helium,31
helium,34
helium,39
helium,32
helium,14
helium,28
helium,30
helium,27
helium,33
helium,11
helium,26
helium,32
helium,30
helium,29
helium,30
helium,29
helium,29
helium,30
helium,26
