school_type,goals,grade
Rural,Sports,5
Rural,Popular,5
Rural,Popular,5
Rural,Popular,5
Rural,Popular,5
Rural,Popular,5
Rural,Popular,5
Rural,Grades,5
Rural,Sports,5
Rural,Sports,5
Rural,Sports,5
Rural,Grades,4
Rural,Popular,4
Rural,Popular,4
Rural,Popular,4
Rural,Grades,4
Rural,Sports,4
Rural,Popular,4
Rural,Grades,4
Rural,Sports,4
Rural,Popular,4
Suburban,Grades,4
Suburban,Popular,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Popular,4
Suburban,Popular,4
Suburban,Grades,4
Suburban,Popular,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Sports,4
Suburban,Sports,4
Suburban,Popular,4
Suburban,Sports,4
Suburban,Grades,4
Suburban,Sports,4
Suburban,Grades,4
Suburban,Grades,4
Suburban,Popular,4
Suburban,Grades,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Sports,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Sports,5
Suburban,Sports,5
Suburban,Popular,5
Suburban,Sports,5
Suburban,Sports,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Grades,5
Suburban,Popular,5
Suburban,Popular,5
Suburban,Grades,5
Suburban,Sports,5
Suburban,Popular,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Popular,5
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Popular,6
Suburban,Grades,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Sports,6
Suburban,Grades,6
Suburban,Sports,6
Suburban,Grades,6
Rural,Grades,4
Rural,Grades,4
Rural,Popular,4
Rural,Popular,4
Rural,Sports,4
Rural,Popular,4
Rural,Sports,4
Rural,Grades,4
Rural,Sports,4
Rural,Sports,4
Rural,Popular,4
Rural,Popular,4
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Popular,4
Rural,Sports,4
Rural,Popular,4
Rural,Sports,4
Rural,Popular,4
Rural,Popular,4
Rural,Grades,4
Rural,Grades,5
Rural,Sports,5
Rural,Sports,5
Rural,Sports,5
Rural,Popular,5
Rural,Grades,5
Rural,Popular,5
Rural,Sports,5
Rural,Sports,5
Rural,Sports,5
Rural,Popular,5
Rural,Grades,5
Rural,Popular,5
Rural,Sports,5
Rural,Grades,5
Rural,Popular,5
Rural,Popular,5
Rural,Sports,5
Rural,Grades,5
Rural,Popular,5
Rural,Grades,5
Rural,Popular,5
Rural,Popular,5
Rural,Grades,5
Rural,Grades,5
Rural,Sports,5
Rural,Popular,5
Rural,Popular,5
Rural,Sports,5
Rural,Sports,5
Rural,Sports,5
Rural,Grades,5
Rural,Grades,5
Rural,Grades,5
Rural,Popular,5
Rural,Popular,5
Rural,Popular,5
Rural,Grades,5
Rural,Grades,5
Rural,Grades,5
Rural,Popular,5
Rural,Grades,5
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Grades,4
Rural,Popular,4
Rural,Grades,4
Rural,Sports,4
Rural,Sports,4
Rural,Grades,4
Rural,Popular,6
Rural,Popular,6
Rural,Grades,6
Rural,Grades,6
Rural,Grades,6
Rural,Grades,6
Rural,Grades,6
Rural,Popular,6
Rural,Sports,6
Rural,Grades,6
Rural,Popular,6
Rural,Popular,6
Rural,Grades,6
Rural,Popular,6
Rural,Popular,6
Rural,Popular,6
Rural,Grades,6
Rural,Grades,6
Rural,Grades,6
Rural,Grades,6
Rural,Popular,6
Rural,Grades,6
