Round1,Round2
13.34,16.712
10.49,30.147
13.552,24.359
10.378,23.996
15.499,16.288
13.2,20.77
14.772,23.978
15.455,25.046
14.679,24.786
24.011,25.003
8.334,10.309
11.823,25.66
14.819,15.791
14.173,21.604
12.663,17.837
9.81,15.238
13.067,26.425
13,19
14.92,20.9
8.2,18.7
11.394,18.036
10.06,16.351
10.1,22.4
12.665,16.661
13,20
6.159,15.623
13.453,27.268
14.568,21.343
14.705,18.981
8.2,17.8
19.013,26.487
15.95,20.456
11.173,20.894
14.826,24.032
10.56,18.87
7.306,18.752
15.874,18.314
16.91,34.54
10.499,21.754
16.35,31.05
14.275,21.027
13.238,28.393
13.204,19.947
12.746,20.757
8.444,18.377
12.94,21.964
11.44,20.23
14.34,22.06
11.658,25.272
16,17.23
18,30
12.293,17.355
9.978,21.231
14.775,16.156
13.49,23.553
13.49,23.553
13.405,18.718
11.291,19.953
15.328,23.257
13.659,24.239
17,30
10.182,16.339
13.088,23.581
15.562,23.329
15,26
13.03,33.647
18,25
16.536,26.194
13.022,33.942
10.497,36.311
9.151,25.042
9.52,20.63
12.45,28.67
11.781,20.005
9.49,18.657
11.008,15.501
7.796,18.531
16.996,26.713
13.524,24.817
10.689,26.349
15.892,26.725
11.091,22.005
9.743,20.145
11.234,14.067
13.676,18.548
15.631,25.341
12.45,25.701
13.029,24.229
14.976,21.192
20.103,22.125
18.203,29.747
8.557,17.684
16.197,32.157
14.228,23.039
9.476,20.374
11.956,20.347
8.926,21.112
13.298,17.264
12.144,13.622
8.876,18.183
9.236,22.998
11.665,19.683
15,25
9.013,20.935
15.062,21.583
10.077,25.236
8.659,23.457
11.132,25.333
11.297,29.933
8.25,17.863
10.52,23.52
9.664,26.288
14.525,21.496
11.297,29.933
14.032,25.222
18.89,24.16
8.998,19.874
10.283,14.229
13.1,31.9
11.51,21.23
9.476,20.374
10.879,20.899
20.03,27.043
9.14,10.233
20.32,24.65
11.62,18.24
20.87,29.533
12,20
15.217,17.303
10.908,19.437
11.617,17.753
13.12,18.389
9.325,22.148
11.789,11.991
9.181,19.429
11.193,18.622
20.849,33.744
14.02,22.418
15.533,23.92
16,19
19.022,19.215
7.966,27.907
17.433,25.457
14.367,19.827
26.972,39.14
13.511,20.706
11.787,22.94
16.958,19.076
16.388,26.572
15.307,18.945
18.064,22.213
13.66,33.148
13.445,27.669
8.478,17.455
13.866,24.294
13.445,27.669
10.118,21.298
19.441,26.878
16.003,21.502
10.747,18.626
14.276,21.556
16.899,21.501
10.084,17.356
13.427,19.651
14.053,24.113
15.457,16.292
14.103,16.122
14.03,23.077
9.505,21.208
9.712,11.423
14.289,21.215
15.015,23.732
14.03,23.077
12.45,23.849
10.86,22.365
1,1
10.392,13.633
19.984,39.793
9.645,29.05
8.878,17.342
17.602,25.452
15.55,27.92
13.123,22.047
14.8,25
10.84,26.24
11.335,21.85
10.047,7.478
13.383,26.617
15.207,21.609
17.246,21.737
12.208,21.078
16.598,23.751
10.574,16.201
10.904,13.599
9.964,23.656
9.566,12.084
11.725,22.416
15.48,21.35
17.039,18.596
13.99,22.227
14.56,20.27
25,22
6.96,17.85
10.117,22.607
19.806,24.127
11.578,26.88
23.014,18.101
14.984,27.136
10,19
25.314,24.197
11.17,26.89
15.889,21.489
9.352,11.916
10.123,20.245
9.364,23.09
15.1,26.143
13.55,18.726
10.966,38.155
12.193,19.124
9.371,23.845
14.413,17.246
11.777,20.555
15.12,25.2
14.906,17.008
10.36,18.564
14.928,21.785
16.748,39.378
15.9,33.5
24.76,32.91
7.691,15.749
10.652,16.53
8.416,20.02
12.229,26.764
37.407,19.699
12.447,25.172
17.703,22.447
12.198,27.891
21.174,30.562
17.163,21.7
11.57,20.974
22.521,23.141
11.464,35.432
19.274,27.634
19.348,23.852
11.74,21.517
20.658,27.406
7.97,15.334
14.152,13.089
9.44,24.21
11.388,19.998
16.912,9.89
9,20.75
19.386,28.796
16.96,28.229
17.83,22.19
9.614,27.615
8.473,24.503
15.157,28.137
16.69,23.78
12.595,28.965
23.83,44.82
5.282,5.707
12.859,16.197
22.4,24.8
10.237,26.683
15.8,28.2
14.4,26.2
10.309,24.831
10.259,12.371
15.685,32.915
10.971,25.145
10.41,24.99
9.608,15.846
11.001,23.045
10.542,14.332
8,21
7.4,20.5
12.71,25.02
8.289,18.902
6.289,19.676
13.75,20.69
12,23
13.623,27.024
20.887,22.792
8.2,19.6
17.04,14.583
15.753,24.125
11.74,12.999
15.58,16.21
8.176,7.124
23.94,22.16
13.097,21.938
16.79,20.42
10.096,20.924
15.363,23.651
14.439,19.031
23.702,19.057
8.828,24.846
11.509,18.211
11.148,23.189
16.41,24.187
10.747,21.785
17.71,27.532
9.918,25.016
18.113,28.657
11.338,22.842
10.181,25.403
14.283,18.533
14.879,25.745
18.514,22.689
14.37,21.445
10.393,15.34
16.784,19.446
16.8,20.15
16.784,19.446
11.36,15.27
20.203,35.456
14.907,15.462
17.91,21.611
20.911,26.817
16.064,19.52
12.1,16.6
16.01,20.67
8.3,12.6
9.989,17
14.6,22.1
8.787,22.69
8.069,20.807
10.219,28.968
10.057,21.747
11.659,23.493
26.928,20.793
11.621,26.154
13.525,23.102
